word,category,weight
fuckface,sad,4
fuckhead,sad,4
fucking,sad,4
fucktard,sad,4
fud,sad,3
fuked,sad,4
fuking,sad,4
fulfill,happy,2
fulfilled,happy,2
fulfills,happy,2
fuming,sad,2
fun,happy,4
funeral,sad,1
funerals,sad,1
funky,happy,2
funnier,happy,4
funny,happy,4
furious,sad,3
futile,happy,2
gag,sad,2
gagged,sad,2
gain,happy,2
gained,happy,2
gaining,happy,2
gains,happy,2
gallant,happy,3
gallantly,happy,3
gallantry,happy,3
generous,happy,2
genial,happy,3
ghost,sad,1
giddy,sad,2
gift,happy,2
glad,happy,3
glamorous,happy,3
glamourous,happy,3
glee,happy,3
gleeful,happy,3
gloom,sad,1
gloomy,sad,2
glorious,happy,2
glory,happy,2
glum,sad,2
god,happy,1
goddamn,sad,3
godsend,happy,4
good,happy,3
goodness,happy,3
grace,happy,1
gracious,happy,3
grand,happy,3
grant,happy,1
granted,happy,1
granting,happy,1
grants,happy,1
grateful,happy,3
gratification,happy,2
grave,sad,2
gray,sad,1
great,happy,3
greater,happy,3
greatest,happy,3
greed,sad,3
greedy,sad,2
greenwash,sad,3
greenwasher,sad,3
greenwashers,sad,3
greenwashing,sad,3
greet,happy,1
greeted,happy,1
greeting,happy,1
greetings,happy,2
greets,happy,1
grey,sad,1
grief,sad,2
grieved,sad,2
gross,sad,2
growing,happy,1
growth,happy,2
guarantee,happy,1
guilt,sad,3
guilty,sad,3
gullibility,sad,2
gullible,sad,2
gun,sad,1
ha,happy,2
hacked,sad,1
haha,happy,3
hahaha,happy,3
hahahah,happy,3
hail,happy,2
hailed,happy,2
hapless,sad,2
haplessness,sad,2
happiness,happy,3
happy,happy,3
hard,sad,1
hardier,happy,2
hardship,sad,2
hardy,happy,2
harm,sad,2
harmed,sad,2
harmful,sad,2
harming,sad,2
harms,sad,2
harried,sad,2
harsh,sad,2
harsher,sad,2
harshest,sad,2
hate,sad,3
hated,sad,3
haters,sad,3
hates,sad,3
hating,sad,3
haunt,sad,1
haunted,sad,2
haunting,happy,1
haunts,sad,1
havoc,sad,2
healthy,happy,2
heartbreaking,sad,3
heartbroken,sad,3
heartfelt,happy,3
heaven,happy,2
heavenly,happy,4
heavyhearted,sad,2
hell,sad,4
help,happy,2
helpful,happy,2
helping,happy,2
helpless,sad,2
helps,happy,2
hero,happy,2
heroes,happy,2
heroic,happy,3
hesitant,sad,2
hesitate,sad,2
hid,sad,1
hide,sad,1
hides,sad,1
hiding,sad,1
highlight,happy,2
hilarious,happy,2
hindrance,sad,2
hoax,sad,2
homesick,sad,2
honest,happy,2
honor,happy,2
honored,happy,2
honoring,happy,2
honour,happy,2
honoured,happy,2
honouring,happy,2
hooligan,sad,2
hooliganism,sad,2
hooligans,sad,2
hope,happy,2
hopeful,happy,2
hopefully,happy,2
hopeless,sad,2
hopelessness,sad,2
hopes,happy,2
hoping,happy,2
horrendous,sad,3
horrible,sad,3
horrific,sad,3
horrified,sad,3
hostile,sad,2
huckster,sad,2
hug,happy,2
huge,happy,1
hugs,happy,2
humerous,happy,3
humiliated,sad,3
humiliation,sad,3
humor,happy,2
humorous,happy,2
humour,happy,2
humourous,happy,2
hunger,sad,2
hurrah,happy,5
hurt,sad,2
hurting,sad,2
hurts,sad,2
hypocritical,sad,2
hysteria,sad,3
hysterical,sad,3
hysterics,sad,3
idiot,sad,3
idiotic,sad,3
ignorance,sad,2
ignorant,sad,2
ignore,sad,1
ignored,sad,2
ignores,sad,1
ill,sad,2
illegal,sad,3
illiteracy,sad,2
illness,sad,2
illnesses,sad,2
imbecile,sad,3
immobilized,sad,1
immortal,happy,2
immune,happy,1
impatient,sad,2
imperfect,sad,2
importance,happy,2
important,happy,2
impose,sad,1
imposed,sad,1
imposes,sad,1
imposing,sad,1
impotent,sad,2
impress,happy,3
impressed,happy,3
impresses,happy,3
impressive,happy,3
imprisoned,sad,2
improve,happy,2
improved,happy,2
improvement,happy,2
improves,happy,2
improving,happy,2
inability,sad,2
inaction,sad,2
inadequate,sad,2
incapable,sad,2
incapacitated,sad,2
incensed,sad,2
incompetence,sad,2
incompetent,sad,2
inconsiderate,sad,2
inconvenience,sad,2
inconvenient,sad,2
increase,happy,1
increased,happy,1
indecisive,sad,2
indestructible,happy,2
indifference,sad,2
indifferent,sad,2
indignant,sad,2
indignation,sad,2
indoctrinate,sad,2
indoctrinated,sad,2
indoctrinates,sad,2
indoctrinating,sad,2
ineffective,sad,2
ineffectively,sad,2
infatuated,happy,2
infatuation,happy,2
infected,sad,2
inferior,sad,2
inflamed,sad,2
influential,happy,2
infringement,sad,2
infuriate,sad,2
infuriated,sad,2
infuriates,sad,2
infuriating,sad,2
inhibit,sad,1
injured,sad,2
injury,sad,2
injustice,sad,2
innovate,happy,1
innovates,happy,1
innovation,happy,1
innovative,happy,2
inquisition,sad,2
inquisitive,happy,2
insane,sad,2
insanity,sad,2
insecure,sad,2
insensitive,sad,2
insensitivity,sad,2
insignificant,sad,2
insipid,sad,2
inspiration,happy,2
inspirational,happy,2
inspire,happy,2
inspired,happy,2
inspires,happy,2
inspiring,happy,3
insult,sad,2
insulted,sad,2
insulting,sad,2
insults,sad,2
intact,happy,2
integrity,happy,2
intelligent,happy,2
intense,happy,1
interest,happy,1
interested,happy,2
interesting,happy,2
interests,happy,1
interrogated,sad,2
interrupt,sad,2
interrupted,sad,2
interrupting,sad,2
interruption,sad,2
interrupts,sad,2
intimidate,sad,2
intimidated,sad,2
intimidates,sad,2
intimidating,sad,2
intimidation,sad,2
intricate,happy,2
intrigues,happy,1
invincible,happy,2
invite,happy,1
inviting,happy,1
invulnerable,happy,2
irate,sad,3
ironic,sad,1
irony,sad,1
irrational,sad,1
irresistible,happy,2
irresolute,sad,2
irresponsible,happy,2
irreversible,sad,1
irritate,sad,3
irritated,sad,3
irritating,sad,3
isolated,sad,1
itchy,sad,2
jackass,sad,4
jackasses,sad,4
